valueLoss,policyLoss
0.0607,6.9831
0.0615,7.1197
0.0582,7.1725
0.0619,7.5219
0.0700,7.2743
0.0709,7.2502
0.0604,7.0315
0.0696,7.2341
0.0745,7.0870
0.0774,7.0744
0.0743,7.0982
0.0898,7.1459
0.1102,7.2167
0.1148,7.0096
0.1295,7.5814
0.1092,7.6102
0.1024,7.3339
0.0932,7.0873
0.0873,7.2749
0.0729,7.0356
0.0717,7.1658
0.1083,7.3090
0.1121,7.6242
0.0824,7.7133
0.0803,7.6599
0.1185,7.5875
0.1742,8.3599
0.1061,8.3174
0.1564,8.2826
0.1045,7.9004
0.1261,7.8034
0.0998,7.5022
0.1017,7.2767
0.1260,7.1966
0.0918,7.2513
0.0950,7.6380
0.0961,7.8433
0.0636,7.6647
0.1116,8.0563
0.0662,7.7500
0.0817,7.8386
0.0867,7.3828
0.0697,7.3862
0.0860,7.0736
0.0680,6.8844
0.0777,6.5438
0.0773,6.5296
0.0949,6.5899
0.0900,6.6112
0.0993,6.8611
0.0854,6.8279
0.0919,6.7904
0.0817,7.0810
0.0726,7.4986
0.0738,7.6163
0.0786,7.5821
0.0584,7.3333
0.0625,7.1061
0.0568,7.2167
0.0637,7.1870
0.0731,6.9401
0.0851,7.6971
0.0976,7.8426
0.1080,7.9202
0.1241,8.2928
0.1072,8.0009
0.0947,8.1114
0.0845,8.0125
0.0804,7.9351
0.0755,7.2403
0.0862,7.5243
0.0668,7.4982
0.0741,7.2046
0.0742,7.3470
0.0719,7.4803
0.0749,7.4722
0.0867,7.4129
0.0810,7.4636
0.0790,7.5639
0.0823,7.4463
0.0848,7.3484
0.0856,7.4237
0.1054,7.6601
0.1009,7.8185
0.0899,7.4640
0.0933,7.5799
0.0924,7.5460
0.0874,7.4690
0.0770,7.1405
0.0923,7.1169
0.0871,7.2254
0.0775,7.3279
0.0803,7.2897
0.0952,7.4350
0.0850,7.5931
0.0854,7.4820
0.0711,7.4593
0.0780,7.3879
0.0716,7.5501
0.0654,7.3594
0.0628,6.8341
0.0724,7.0396
0.0709,6.9073
0.0760,7.0414
0.0944,7.2225
0.0898,7.6009
0.0892,7.4970
0.0896,7.0582
0.0814,7.1960
0.0893,7.7400
0.0866,7.6057
0.0725,7.5307
0.0717,7.1884
0.0823,7.3646
0.0987,7.1953
0.1102,7.4021
0.0768,7.5527
0.0678,7.7936
0.0612,7.7708
0.0766,7.6215
0.0835,7.5066
0.1066,7.1390
0.1282,7.6101
